parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
delta_48	delta_48	lin	1e-06	100.0	1.0	1
delta_49	delta_49	lin	1e-06	100.0	1.0	1
delta_50	delta_50	lin	1e-06	100.0	1.0	1
alpha0_1	alpha0_1	lin	1e-06	100.0	1.0	1
alpha0_2	alpha0_2	lin	1e-06	100.0	1.0	1
alpha0_3	alpha0_3	lin	1e-06	100.0	1.0	1
alpha0_4	alpha0_4	lin	1e-06	100.0	1.0	1
alpha0_5	alpha0_5	lin	1e-06	100.0	1.0	1
alpha0_6	alpha0_6	lin	1e-06	100.0	1.0	1
alpha0_7	alpha0_7	lin	1e-06	100.0	1.0	1
alpha0_8	alpha0_8	lin	1e-06	100.0	1.0	1
alpha0_9	alpha0_9	lin	1e-06	100.0	1.0	1
alpha0_10	alpha0_10	lin	1e-06	100.0	1.0	1
alpha0_11	alpha0_11	lin	1e-06	100.0	1.0	1
alpha0_12	alpha0_12	lin	1e-06	100.0	1.0	1
alpha0_13	alpha0_13	lin	1e-06	100.0	1.0	1
alpha0_14	alpha0_14	lin	1e-06	100.0	1.0	1
alpha0_15	alpha0_15	lin	1e-06	100.0	1.0	1
alpha0_16	alpha0_16	lin	1e-06	100.0	1.0	1
alpha0_17	alpha0_17	lin	1e-06	100.0	1.0	1
alpha0_18	alpha0_18	lin	1e-06	100.0	1.0	1
alpha0_19	alpha0_19	lin	1e-06	100.0	1.0	1
alpha0_20	alpha0_20	lin	1e-06	100.0	1.0	1
alpha0_21	alpha0_21	lin	1e-06	100.0	1.0	1
alpha0_22	alpha0_22	lin	1e-06	100.0	1.0	1
alpha0_23	alpha0_23	lin	1e-06	100.0	1.0	1
alpha0_24	alpha0_24	lin	1e-06	100.0	1.0	1
alpha0_25	alpha0_25	lin	1e-06	100.0	1.0	1
alpha0_26	alpha0_26	lin	1e-06	100.0	1.0	1
alpha0_27	alpha0_27	lin	1e-06	100.0	1.0	1
alpha0_28	alpha0_28	lin	1e-06	100.0	1.0	1
alpha0_29	alpha0_29	lin	1e-06	100.0	1.0	1
alpha0_30	alpha0_30	lin	1e-06	100.0	1.0	1
alpha0_31	alpha0_31	lin	1e-06	100.0	1.0	1
alpha0_32	alpha0_32	lin	1e-06	100.0	1.0	1
alpha0_33	alpha0_33	lin	1e-06	100.0	1.0	1
alpha0_34	alpha0_34	lin	1e-06	100.0	1.0	1
alpha0_35	alpha0_35	lin	1e-06	100.0	1.0	1
alpha0_36	alpha0_36	lin	1e-06	100.0	1.0	1
alpha0_37	alpha0_37	lin	1e-06	100.0	1.0	1
alpha0_38	alpha0_38	lin	1e-06	100.0	1.0	1
alpha0_39	alpha0_39	lin	1e-06	100.0	1.0	1
alpha0_40	alpha0_40	lin	1e-06	100.0	1.0	1
alpha0_41	alpha0_41	lin	1e-06	100.0	1.0	1
alpha0_42	alpha0_42	lin	1e-06	100.0	1.0	1
alpha0_43	alpha0_43	lin	1e-06	100.0	1.0	1
alpha0_44	alpha0_44	lin	1e-06	100.0	1.0	1
alpha0_45	alpha0_45	lin	1e-06	100.0	1.0	1
alpha0_46	alpha0_46	lin	1e-06	100.0	1.0	1
alpha0_47	alpha0_47	lin	1e-06	100.0	1.0	1
alpha0_48	alpha0_48	lin	1e-06	100.0	1.0	1
alpha0_49	alpha0_49	lin	1e-06	100.0	1.0	1
alpha0_50	alpha0_50	lin	1e-06	100.0	1.0	1
m0_1	m0_1	lin	1e-06	100.0	1.0	1
m0_2	m0_2	lin	1e-06	100.0	1.0	1
m0_3	m0_3	lin	1e-06	100.0	1.0	1
m0_4	m0_4	lin	1e-06	100.0	1.0	1
m0_5	m0_5	lin	1e-06	100.0	1.0	1
m0_6	m0_6	lin	1e-06	100.0	1.0	1
m0_7	m0_7	lin	1e-06	100.0	1.0	1
m0_8	m0_8	lin	1e-06	100.0	1.0	1
m0_9	m0_9	lin	1e-06	100.0	1.0	1
m0_10	m0_10	lin	1e-06	100.0	1.0	1
m0_11	m0_11	lin	1e-06	100.0	1.0	1
m0_12	m0_12	lin	1e-06	100.0	1.0	1
m0_13	m0_13	lin	1e-06	100.0	1.0	1
m0_14	m0_14	lin	1e-06	100.0	1.0	1
m0_15	m0_15	lin	1e-06	100.0	1.0	1
m0_16	m0_16	lin	1e-06	100.0	1.0	1
m0_17	m0_17	lin	1e-06	100.0	1.0	1
m0_18	m0_18	lin	1e-06	100.0	1.0	1
m0_19	m0_19	lin	1e-06	100.0	1.0	1
m0_20	m0_20	lin	1e-06	100.0	1.0	1
m0_21	m0_21	lin	1e-06	100.0	1.0	1
m0_22	m0_22	lin	1e-06	100.0	1.0	1
m0_23	m0_23	lin	1e-06	100.0	1.0	1
m0_24	m0_24	lin	1e-06	100.0	1.0	1
m0_25	m0_25	lin	1e-06	100.0	1.0	1
m0_26	m0_26	lin	1e-06	100.0	1.0	1
m0_27	m0_27	lin	1e-06	100.0	1.0	1
m0_28	m0_28	lin	1e-06	100.0	1.0	1
m0_29	m0_29	lin	1e-06	100.0	1.0	1
m0_30	m0_30	lin	1e-06	100.0	1.0	1
m0_31	m0_31	lin	1e-06	100.0	1.0	1
m0_32	m0_32	lin	1e-06	100.0	1.0	1
m0_33	m0_33	lin	1e-06	100.0	1.0	1
m0_34	m0_34	lin	1e-06	100.0	1.0	1
m0_35	m0_35	lin	1e-06	100.0	1.0	1
m0_36	m0_36	lin	1e-06	100.0	1.0	1
m0_37	m0_37	lin	1e-06	100.0	1.0	1
m0_38	m0_38	lin	1e-06	100.0	1.0	1
m0_39	m0_39	lin	1e-06	100.0	1.0	1
m0_40	m0_40	lin	1e-06	100.0	1.0	1
m0_41	m0_41	lin	1e-06	100.0	1.0	1
m0_42	m0_42	lin	1e-06	100.0	1.0	1
m0_43	m0_43	lin	1e-06	100.0	1.0	1
m0_44	m0_44	lin	1e-06	100.0	1.0	1
m0_45	m0_45	lin	1e-06	100.0	1.0	1
m0_46	m0_46	lin	1e-06	100.0	1.0	1
m0_47	m0_47	lin	1e-06	100.0	1.0	1
m0_48	m0_48	lin	1e-06	100.0	1.0	1
m0_49	m0_49	lin	1e-06	100.0	1.0	1
m0_50	m0_50	lin	1e-06	100.0	1.0	1
p0_1	p0_1	lin	1e-06	100.0	1.0	1
p0_2	p0_2	lin	1e-06	100.0	1.0	1
p0_3	p0_3	lin	1e-06	100.0	1.0	1
p0_4	p0_4	lin	1e-06	100.0	1.0	1
p0_5	p0_5	lin	1e-06	100.0	1.0	1
p0_6	p0_6	lin	1e-06	100.0	1.0	1
p0_7	p0_7	lin	1e-06	100.0	1.0	1
p0_8	p0_8	lin	1e-06	100.0	1.0	1
p0_9	p0_9	lin	1e-06	100.0	1.0	1
p0_10	p0_10	lin	1e-06	100.0	1.0	1
p0_11	p0_11	lin	1e-06	100.0	1.0	1
p0_12	p0_12	lin	1e-06	100.0	1.0	1
p0_13	p0_13	lin	1e-06	100.0	1.0	1
p0_14	p0_14	lin	1e-06	100.0	1.0	1
p0_15	p0_15	lin	1e-06	100.0	1.0	1
p0_16	p0_16	lin	1e-06	100.0	1.0	1
p0_17	p0_17	lin	1e-06	100.0	1.0	1
p0_18	p0_18	lin	1e-06	100.0	1.0	1
p0_19	p0_19	lin	1e-06	100.0	1.0	1
p0_20	p0_20	lin	1e-06	100.0	1.0	1
p0_21	p0_21	lin	1e-06	100.0	1.0	1
p0_22	p0_22	lin	1e-06	100.0	1.0	1
p0_23	p0_23	lin	1e-06	100.0	1.0	1
p0_24	p0_24	lin	1e-06	100.0	1.0	1
p0_25	p0_25	lin	1e-06	100.0	1.0	1
p0_26	p0_26	lin	1e-06	100.0	1.0	1
p0_27	p0_27	lin	1e-06	100.0	1.0	1
p0_28	p0_28	lin	1e-06	100.0	1.0	1
p0_29	p0_29	lin	1e-06	100.0	1.0	1
p0_30	p0_30	lin	1e-06	100.0	1.0	1
p0_31	p0_31	lin	1e-06	100.0	1.0	1
p0_32	p0_32	lin	1e-06	100.0	1.0	1
p0_33	p0_33	lin	1e-06	100.0	1.0	1
p0_34	p0_34	lin	1e-06	100.0	1.0	1
p0_35	p0_35	lin	1e-06	100.0	1.0	1
p0_36	p0_36	lin	1e-06	100.0	1.0	1
p0_37	p0_37	lin	1e-06	100.0	1.0	1
p0_38	p0_38	lin	1e-06	100.0	1.0	1
p0_39	p0_39	lin	1e-06	100.0	1.0	1
p0_40	p0_40	lin	1e-06	100.0	1.0	1
p0_41	p0_41	lin	1e-06	100.0	1.0	1
p0_42	p0_42	lin	1e-06	100.0	1.0	1
p0_43	p0_43	lin	1e-06	100.0	1.0	1
p0_44	p0_44	lin	1e-06	100.0	1.0	1
p0_45	p0_45	lin	1e-06	100.0	1.0	1
p0_46	p0_46	lin	1e-06	100.0	1.0	1
p0_47	p0_47	lin	1e-06	100.0	1.0	1
p0_48	p0_48	lin	1e-06	100.0	1.0	1
p0_49	p0_49	lin	1e-06	100.0	1.0	1
p0_50	p0_50	lin	1e-06	100.0	1.0	1
sigma_rel_medium	sigma_rel_medium	lin	1e-08	1.0	0.1	0
sigma_abs_medium	sigma_abs_medium	lin	1e-08	1000000.0	1.0	0
