parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
beta_198	beta_198	lin	1e-06	100.0	1.0	1
beta_199	beta_199	lin	1e-06	100.0	1.0	1
beta_200	beta_200	lin	1e-06	100.0	1.0	1
gamma_1	gamma_1	lin	1e-06	100.0	1.0	1
gamma_2	gamma_2	lin	1e-06	100.0	1.0	1
gamma_3	gamma_3	lin	1e-06	100.0	1.0	1
gamma_4	gamma_4	lin	1e-06	100.0	1.0	1
gamma_5	gamma_5	lin	1e-06	100.0	1.0	1
gamma_6	gamma_6	lin	1e-06	100.0	1.0	1
gamma_7	gamma_7	lin	1e-06	100.0	1.0	1
gamma_8	gamma_8	lin	1e-06	100.0	1.0	1
gamma_9	gamma_9	lin	1e-06	100.0	1.0	1
gamma_10	gamma_10	lin	1e-06	100.0	1.0	1
gamma_11	gamma_11	lin	1e-06	100.0	1.0	1
gamma_12	gamma_12	lin	1e-06	100.0	1.0	1
gamma_13	gamma_13	lin	1e-06	100.0	1.0	1
gamma_14	gamma_14	lin	1e-06	100.0	1.0	1
gamma_15	gamma_15	lin	1e-06	100.0	1.0	1
gamma_16	gamma_16	lin	1e-06	100.0	1.0	1
gamma_17	gamma_17	lin	1e-06	100.0	1.0	1
gamma_18	gamma_18	lin	1e-06	100.0	1.0	1
gamma_19	gamma_19	lin	1e-06	100.0	1.0	1
gamma_20	gamma_20	lin	1e-06	100.0	1.0	1
gamma_21	gamma_21	lin	1e-06	100.0	1.0	1
gamma_22	gamma_22	lin	1e-06	100.0	1.0	1
gamma_23	gamma_23	lin	1e-06	100.0	1.0	1
gamma_24	gamma_24	lin	1e-06	100.0	1.0	1
gamma_25	gamma_25	lin	1e-06	100.0	1.0	1
gamma_26	gamma_26	lin	1e-06	100.0	1.0	1
gamma_27	gamma_27	lin	1e-06	100.0	1.0	1
gamma_28	gamma_28	lin	1e-06	100.0	1.0	1
gamma_29	gamma_29	lin	1e-06	100.0	1.0	1
gamma_30	gamma_30	lin	1e-06	100.0	1.0	1
gamma_31	gamma_31	lin	1e-06	100.0	1.0	1
gamma_32	gamma_32	lin	1e-06	100.0	1.0	1
gamma_33	gamma_33	lin	1e-06	100.0	1.0	1
gamma_34	gamma_34	lin	1e-06	100.0	1.0	1
gamma_35	gamma_35	lin	1e-06	100.0	1.0	1
gamma_36	gamma_36	lin	1e-06	100.0	1.0	1
gamma_37	gamma_37	lin	1e-06	100.0	1.0	1
gamma_38	gamma_38	lin	1e-06	100.0	1.0	1
gamma_39	gamma_39	lin	1e-06	100.0	1.0	1
gamma_40	gamma_40	lin	1e-06	100.0	1.0	1
gamma_41	gamma_41	lin	1e-06	100.0	1.0	1
gamma_42	gamma_42	lin	1e-06	100.0	1.0	1
gamma_43	gamma_43	lin	1e-06	100.0	1.0	1
gamma_44	gamma_44	lin	1e-06	100.0	1.0	1
gamma_45	gamma_45	lin	1e-06	100.0	1.0	1
gamma_46	gamma_46	lin	1e-06	100.0	1.0	1
gamma_47	gamma_47	lin	1e-06	100.0	1.0	1
gamma_48	gamma_48	lin	1e-06	100.0	1.0	1
gamma_49	gamma_49	lin	1e-06	100.0	1.0	1
gamma_50	gamma_50	lin	1e-06	100.0	1.0	1
gamma_51	gamma_51	lin	1e-06	100.0	1.0	1
gamma_52	gamma_52	lin	1e-06	100.0	1.0	1
gamma_53	gamma_53	lin	1e-06	100.0	1.0	1
gamma_54	gamma_54	lin	1e-06	100.0	1.0	1
gamma_55	gamma_55	lin	1e-06	100.0	1.0	1
gamma_56	gamma_56	lin	1e-06	100.0	1.0	1
gamma_57	gamma_57	lin	1e-06	100.0	1.0	1
gamma_58	gamma_58	lin	1e-06	100.0	1.0	1
gamma_59	gamma_59	lin	1e-06	100.0	1.0	1
gamma_60	gamma_60	lin	1e-06	100.0	1.0	1
gamma_61	gamma_61	lin	1e-06	100.0	1.0	1
gamma_62	gamma_62	lin	1e-06	100.0	1.0	1
gamma_63	gamma_63	lin	1e-06	100.0	1.0	1
gamma_64	gamma_64	lin	1e-06	100.0	1.0	1
gamma_65	gamma_65	lin	1e-06	100.0	1.0	1
gamma_66	gamma_66	lin	1e-06	100.0	1.0	1
gamma_67	gamma_67	lin	1e-06	100.0	1.0	1
gamma_68	gamma_68	lin	1e-06	100.0	1.0	1
gamma_69	gamma_69	lin	1e-06	100.0	1.0	1
gamma_70	gamma_70	lin	1e-06	100.0	1.0	1
gamma_71	gamma_71	lin	1e-06	100.0	1.0	1
gamma_72	gamma_72	lin	1e-06	100.0	1.0	1
gamma_73	gamma_73	lin	1e-06	100.0	1.0	1
gamma_74	gamma_74	lin	1e-06	100.0	1.0	1
gamma_75	gamma_75	lin	1e-06	100.0	1.0	1
gamma_76	gamma_76	lin	1e-06	100.0	1.0	1
gamma_77	gamma_77	lin	1e-06	100.0	1.0	1
gamma_78	gamma_78	lin	1e-06	100.0	1.0	1
gamma_79	gamma_79	lin	1e-06	100.0	1.0	1
gamma_80	gamma_80	lin	1e-06	100.0	1.0	1
gamma_81	gamma_81	lin	1e-06	100.0	1.0	1
gamma_82	gamma_82	lin	1e-06	100.0	1.0	1
gamma_83	gamma_83	lin	1e-06	100.0	1.0	1
gamma_84	gamma_84	lin	1e-06	100.0	1.0	1
gamma_85	gamma_85	lin	1e-06	100.0	1.0	1
gamma_86	gamma_86	lin	1e-06	100.0	1.0	1
gamma_87	gamma_87	lin	1e-06	100.0	1.0	1
gamma_88	gamma_88	lin	1e-06	100.0	1.0	1
gamma_89	gamma_89	lin	1e-06	100.0	1.0	1
gamma_90	gamma_90	lin	1e-06	100.0	1.0	1
gamma_91	gamma_91	lin	1e-06	100.0	1.0	1
gamma_92	gamma_92	lin	1e-06	100.0	1.0	1
gamma_93	gamma_93	lin	1e-06	100.0	1.0	1
gamma_94	gamma_94	lin	1e-06	100.0	1.0	1
gamma_95	gamma_95	lin	1e-06	100.0	1.0	1
gamma_96	gamma_96	lin	1e-06	100.0	1.0	1
gamma_97	gamma_97	lin	1e-06	100.0	1.0	1
gamma_98	gamma_98	lin	1e-06	100.0	1.0	1
gamma_99	gamma_99	lin	1e-06	100.0	1.0	1
gamma_100	gamma_100	lin	1e-06	100.0	1.0	1
gamma_101	gamma_101	lin	1e-06	100.0	1.0	1
gamma_102	gamma_102	lin	1e-06	100.0	1.0	1
gamma_103	gamma_103	lin	1e-06	100.0	1.0	1
gamma_104	gamma_104	lin	1e-06	100.0	1.0	1
gamma_105	gamma_105	lin	1e-06	100.0	1.0	1
gamma_106	gamma_106	lin	1e-06	100.0	1.0	1
gamma_107	gamma_107	lin	1e-06	100.0	1.0	1
gamma_108	gamma_108	lin	1e-06	100.0	1.0	1
gamma_109	gamma_109	lin	1e-06	100.0	1.0	1
gamma_110	gamma_110	lin	1e-06	100.0	1.0	1
gamma_111	gamma_111	lin	1e-06	100.0	1.0	1
gamma_112	gamma_112	lin	1e-06	100.0	1.0	1
gamma_113	gamma_113	lin	1e-06	100.0	1.0	1
gamma_114	gamma_114	lin	1e-06	100.0	1.0	1
gamma_115	gamma_115	lin	1e-06	100.0	1.0	1
gamma_116	gamma_116	lin	1e-06	100.0	1.0	1
gamma_117	gamma_117	lin	1e-06	100.0	1.0	1
gamma_118	gamma_118	lin	1e-06	100.0	1.0	1
gamma_119	gamma_119	lin	1e-06	100.0	1.0	1
gamma_120	gamma_120	lin	1e-06	100.0	1.0	1
gamma_121	gamma_121	lin	1e-06	100.0	1.0	1
gamma_122	gamma_122	lin	1e-06	100.0	1.0	1
gamma_123	gamma_123	lin	1e-06	100.0	1.0	1
gamma_124	gamma_124	lin	1e-06	100.0	1.0	1
gamma_125	gamma_125	lin	1e-06	100.0	1.0	1
gamma_126	gamma_126	lin	1e-06	100.0	1.0	1
gamma_127	gamma_127	lin	1e-06	100.0	1.0	1
gamma_128	gamma_128	lin	1e-06	100.0	1.0	1
gamma_129	gamma_129	lin	1e-06	100.0	1.0	1
gamma_130	gamma_130	lin	1e-06	100.0	1.0	1
gamma_131	gamma_131	lin	1e-06	100.0	1.0	1
gamma_132	gamma_132	lin	1e-06	100.0	1.0	1
gamma_133	gamma_133	lin	1e-06	100.0	1.0	1
gamma_134	gamma_134	lin	1e-06	100.0	1.0	1
gamma_135	gamma_135	lin	1e-06	100.0	1.0	1
gamma_136	gamma_136	lin	1e-06	100.0	1.0	1
gamma_137	gamma_137	lin	1e-06	100.0	1.0	1
gamma_138	gamma_138	lin	1e-06	100.0	1.0	1
gamma_139	gamma_139	lin	1e-06	100.0	1.0	1
gamma_140	gamma_140	lin	1e-06	100.0	1.0	1
gamma_141	gamma_141	lin	1e-06	100.0	1.0	1
gamma_142	gamma_142	lin	1e-06	100.0	1.0	1
gamma_143	gamma_143	lin	1e-06	100.0	1.0	1
gamma_144	gamma_144	lin	1e-06	100.0	1.0	1
gamma_145	gamma_145	lin	1e-06	100.0	1.0	1
gamma_146	gamma_146	lin	1e-06	100.0	1.0	1
gamma_147	gamma_147	lin	1e-06	100.0	1.0	1
gamma_148	gamma_148	lin	1e-06	100.0	1.0	1
gamma_149	gamma_149	lin	1e-06	100.0	1.0	1
gamma_150	gamma_150	lin	1e-06	100.0	1.0	1
gamma_151	gamma_151	lin	1e-06	100.0	1.0	1
gamma_152	gamma_152	lin	1e-06	100.0	1.0	1
gamma_153	gamma_153	lin	1e-06	100.0	1.0	1
gamma_154	gamma_154	lin	1e-06	100.0	1.0	1
gamma_155	gamma_155	lin	1e-06	100.0	1.0	1
gamma_156	gamma_156	lin	1e-06	100.0	1.0	1
gamma_157	gamma_157	lin	1e-06	100.0	1.0	1
gamma_158	gamma_158	lin	1e-06	100.0	1.0	1
gamma_159	gamma_159	lin	1e-06	100.0	1.0	1
gamma_160	gamma_160	lin	1e-06	100.0	1.0	1
gamma_161	gamma_161	lin	1e-06	100.0	1.0	1
gamma_162	gamma_162	lin	1e-06	100.0	1.0	1
gamma_163	gamma_163	lin	1e-06	100.0	1.0	1
gamma_164	gamma_164	lin	1e-06	100.0	1.0	1
gamma_165	gamma_165	lin	1e-06	100.0	1.0	1
gamma_166	gamma_166	lin	1e-06	100.0	1.0	1
gamma_167	gamma_167	lin	1e-06	100.0	1.0	1
gamma_168	gamma_168	lin	1e-06	100.0	1.0	1
gamma_169	gamma_169	lin	1e-06	100.0	1.0	1
gamma_170	gamma_170	lin	1e-06	100.0	1.0	1
gamma_171	gamma_171	lin	1e-06	100.0	1.0	1
gamma_172	gamma_172	lin	1e-06	100.0	1.0	1
gamma_173	gamma_173	lin	1e-06	100.0	1.0	1
gamma_174	gamma_174	lin	1e-06	100.0	1.0	1
gamma_175	gamma_175	lin	1e-06	100.0	1.0	1
gamma_176	gamma_176	lin	1e-06	100.0	1.0	1
gamma_177	gamma_177	lin	1e-06	100.0	1.0	1
gamma_178	gamma_178	lin	1e-06	100.0	1.0	1
gamma_179	gamma_179	lin	1e-06	100.0	1.0	1
gamma_180	gamma_180	lin	1e-06	100.0	1.0	1
gamma_181	gamma_181	lin	1e-06	100.0	1.0	1
gamma_182	gamma_182	lin	1e-06	100.0	1.0	1
gamma_183	gamma_183	lin	1e-06	100.0	1.0	1
gamma_184	gamma_184	lin	1e-06	100.0	1.0	1
gamma_185	gamma_185	lin	1e-06	100.0	1.0	1
gamma_186	gamma_186	lin	1e-06	100.0	1.0	1
gamma_187	gamma_187	lin	1e-06	100.0	1.0	1
gamma_188	gamma_188	lin	1e-06	100.0	1.0	1
gamma_189	gamma_189	lin	1e-06	100.0	1.0	1
gamma_190	gamma_190	lin	1e-06	100.0	1.0	1
gamma_191	gamma_191	lin	1e-06	100.0	1.0	1
gamma_192	gamma_192	lin	1e-06	100.0	1.0	1
gamma_193	gamma_193	lin	1e-06	100.0	1.0	1
gamma_194	gamma_194	lin	1e-06	100.0	1.0	1
gamma_195	gamma_195	lin	1e-06	100.0	1.0	1
gamma_196	gamma_196	lin	1e-06	100.0	1.0	1
gamma_197	gamma_197	lin	1e-06	100.0	1.0	1
gamma_198	gamma_198	lin	1e-06	100.0	1.0	1
gamma_199	gamma_199	lin	1e-06	100.0	1.0	1
gamma_200	gamma_200	lin	1e-06	100.0	1.0	1
k_1	k_1	lin	1e-06	100.0	1.0	1
k_2	k_2	lin	1e-06	100.0	1.0	1
k_3	k_3	lin	1e-06	100.0	1.0	1
k_4	k_4	lin	1e-06	100.0	1.0	1
k_5	k_5	lin	1e-06	100.0	1.0	1
k_6	k_6	lin	1e-06	100.0	1.0	1
k_7	k_7	lin	1e-06	100.0	1.0	1
k_8	k_8	lin	1e-06	100.0	1.0	1
k_9	k_9	lin	1e-06	100.0	1.0	1
k_10	k_10	lin	1e-06	100.0	1.0	1
k_11	k_11	lin	1e-06	100.0	1.0	1
k_12	k_12	lin	1e-06	100.0	1.0	1
k_13	k_13	lin	1e-06	100.0	1.0	1
k_14	k_14	lin	1e-06	100.0	1.0	1
k_15	k_15	lin	1e-06	100.0	1.0	1
k_16	k_16	lin	1e-06	100.0	1.0	1
k_17	k_17	lin	1e-06	100.0	1.0	1
k_18	k_18	lin	1e-06	100.0	1.0	1
k_19	k_19	lin	1e-06	100.0	1.0	1
k_20	k_20	lin	1e-06	100.0	1.0	1
k_21	k_21	lin	1e-06	100.0	1.0	1
k_22	k_22	lin	1e-06	100.0	1.0	1
k_23	k_23	lin	1e-06	100.0	1.0	1
k_24	k_24	lin	1e-06	100.0	1.0	1
k_25	k_25	lin	1e-06	100.0	1.0	1
k_26	k_26	lin	1e-06	100.0	1.0	1
k_27	k_27	lin	1e-06	100.0	1.0	1
k_28	k_28	lin	1e-06	100.0	1.0	1
k_29	k_29	lin	1e-06	100.0	1.0	1
k_30	k_30	lin	1e-06	100.0	1.0	1
k_31	k_31	lin	1e-06	100.0	1.0	1
k_32	k_32	lin	1e-06	100.0	1.0	1
k_33	k_33	lin	1e-06	100.0	1.0	1
k_34	k_34	lin	1e-06	100.0	1.0	1
k_35	k_35	lin	1e-06	100.0	1.0	1
k_36	k_36	lin	1e-06	100.0	1.0	1
k_37	k_37	lin	1e-06	100.0	1.0	1
k_38	k_38	lin	1e-06	100.0	1.0	1
k_39	k_39	lin	1e-06	100.0	1.0	1
k_40	k_40	lin	1e-06	100.0	1.0	1
k_41	k_41	lin	1e-06	100.0	1.0	1
k_42	k_42	lin	1e-06	100.0	1.0	1
k_43	k_43	lin	1e-06	100.0	1.0	1
k_44	k_44	lin	1e-06	100.0	1.0	1
k_45	k_45	lin	1e-06	100.0	1.0	1
k_46	k_46	lin	1e-06	100.0	1.0	1
k_47	k_47	lin	1e-06	100.0	1.0	1
k_48	k_48	lin	1e-06	100.0	1.0	1
k_49	k_49	lin	1e-06	100.0	1.0	1
k_50	k_50	lin	1e-06	100.0	1.0	1
k_51	k_51	lin	1e-06	100.0	1.0	1
k_52	k_52	lin	1e-06	100.0	1.0	1
k_53	k_53	lin	1e-06	100.0	1.0	1
k_54	k_54	lin	1e-06	100.0	1.0	1
k_55	k_55	lin	1e-06	100.0	1.0	1
k_56	k_56	lin	1e-06	100.0	1.0	1
k_57	k_57	lin	1e-06	100.0	1.0	1
k_58	k_58	lin	1e-06	100.0	1.0	1
k_59	k_59	lin	1e-06	100.0	1.0	1
k_60	k_60	lin	1e-06	100.0	1.0	1
k_61	k_61	lin	1e-06	100.0	1.0	1
k_62	k_62	lin	1e-06	100.0	1.0	1
k_63	k_63	lin	1e-06	100.0	1.0	1
k_64	k_64	lin	1e-06	100.0	1.0	1
k_65	k_65	lin	1e-06	100.0	1.0	1
k_66	k_66	lin	1e-06	100.0	1.0	1
k_67	k_67	lin	1e-06	100.0	1.0	1
k_68	k_68	lin	1e-06	100.0	1.0	1
k_69	k_69	lin	1e-06	100.0	1.0	1
k_70	k_70	lin	1e-06	100.0	1.0	1
k_71	k_71	lin	1e-06	100.0	1.0	1
k_72	k_72	lin	1e-06	100.0	1.0	1
k_73	k_73	lin	1e-06	100.0	1.0	1
k_74	k_74	lin	1e-06	100.0	1.0	1
k_75	k_75	lin	1e-06	100.0	1.0	1
k_76	k_76	lin	1e-06	100.0	1.0	1
k_77	k_77	lin	1e-06	100.0	1.0	1
k_78	k_78	lin	1e-06	100.0	1.0	1
k_79	k_79	lin	1e-06	100.0	1.0	1
k_80	k_80	lin	1e-06	100.0	1.0	1
k_81	k_81	lin	1e-06	100.0	1.0	1
k_82	k_82	lin	1e-06	100.0	1.0	1
k_83	k_83	lin	1e-06	100.0	1.0	1
k_84	k_84	lin	1e-06	100.0	1.0	1
k_85	k_85	lin	1e-06	100.0	1.0	1
k_86	k_86	lin	1e-06	100.0	1.0	1
k_87	k_87	lin	1e-06	100.0	1.0	1
k_88	k_88	lin	1e-06	100.0	1.0	1
k_89	k_89	lin	1e-06	100.0	1.0	1
